File Name,AUROC,AUPRC
morgan,0.941720395,0.944149534
pubchem,0.935235784,0.936635036
daylight,0.926123081,0.924824561
rdkit,0.943134948,0.939349454
espf,0.893848926,0.868351619
ErG,0.927180274,0.917071569
CNN,0.923993806,0.918808926
CNN_GRU,0.900534552,0.89884558
CNN_LSTM,0.895129469,0.897277121
GCN,0.944504832,0.943248846
NeuralFP,0.953252729,0.942078143
GIN_AttrMasking,0.923033398,0.921489827
GIN_ContextPred,0.929004303,0.93151053
AttentiveFP,0.912669933,0.914939718
