File Name,AUROC,AUPRC
morgan,0.918711808,0.828427967
pubchem,0.91343058,0.848783538
daylight,0.906572377,0.851695728
rdkit,0.910572311,0.838771197
espf,0.877242263,0.785191681
ErG,0.913594849,0.861145271
CNN,0.882663118,0.805113344
CNN_GRU,0.896642355,0.833479255
CNN_LSTM,0.884815034,0.805748226
GCN,0.940091333,0.901940066
NeuralFP,0.935393258,0.881691197
GIN_AttrMasking,0.932255733,0.872870227
GIN_ContextPred,0.93522899,0.877129121
AttentiveFP,0.88706551,0.814162564
